primary_key,hotel_id,hotel_name,tripadvisor_id,review_text,rating,published_date
1,1,W Times Square,235238.0,"This is probably the worst W anywhere! If you are considering it, find an alternative! There are plenty of far better options. The hotel is not worthy of the W name.  Room was super basic, not even a coffee maker, no chic vibe, no nice decor.. a basic, bland, boring room - should not be a W! The $30 rip off “destination fee” is a joke. You are forced to pay $30, covering wifi that is free with status, then to use your $30 “credit” it is almost $60 for 2 drinks at the outdated, no view, bar! Marriott should be ashamed of themselves for this NY policy. As a “loyal” elite, in NY I would seriously consider booking a different brand. To top off the poor experience, on check out, another bar charge was added to my bill… over $200 tab, that was not ours. I advised front desk, who said nothing they can do except tell F+B manager, I gave them the benefit of doubt and said ok. Next day, I was still at hotel as my partner had a separate res, and I asked again, charge was still on my folio. I asked 3 times, and charge was never investigated. A week later my CC had been charged for the error… Now it is being “investigated” by Bonvoy. This hotel is a joke, they do not deserve the W name, or anyones business. Book elsewhere… AC by Marriott and Renaissance are far superior….",1,2024-11-09T14:44:12Z
2,1,W Times Square,235238.0,"Every year that I've been to Manhattan, I'll stay some other properties, including The Westin.

This time, I had the privilege to stay in W New York, and I've heard good things about the infamous bar.

We had a room facing Marriott Marquis, and on a daily basis, given that I'm a Marriott Bonvoy member, we get complimentary gifts. The New York destination fee also allows us to redeem complimentary drinks at W Bar.

I expected more rowdy music but great indie music and nice sofas, complimented by great service.

Shout out to a lovely and fun-loving concierge team. Keep up the first moment of service truth.",4,2024-11-03T00:34:32Z
3,1,W Times Square,235238.0,"We stayed at the W hotel for two nights and had a great experience. Eric helped us with our luggage as we walked up to the hotel. He put them on a luggage cart and stayed with us through the check in process until we got to our room. Check in was painless and the front desk employee who checked us in was so friendly and helpful. Eric brought our luggage to our room, gave us a quick tour of the room, and even asked if the temperature of the room was okay. Very impressive!! 

A few standout things: We called and asked for more pillows and an employee brought them with gloves on! So impressive. We requested a fan (we sleep with a fan at home and are so used to the noise and air flow) and they brought us a large tower fan. My husband cut his foot and we asked for antibiotic ointment and they provided it without hesitation.

We stayed in what I believe was called the Wow Suite. The room was impressive- very large. One thing that could be improved is that prices of the mini bar and snack bar that are in the room should be provided. There was a sticker on some items with a number on them, but we ended up being charged $13 for a can of Pringles (lololol). We laughed about it because we obviously knew that it would be more expensive than usual, but I wish the prices were disclosed. The shower in the room was small and there was no bathtub. There was a questionable stain on the older couch in the sitting room area. 

Overall our stay was comfortable and we were very impressed with the service provided. We hope to return someday soon!",4,2024-10-13T21:27:25Z
4,1,W Times Square,235238.0,"Fantastic Location!! Sally checked us in and she was very friendly, and greeted us with such a warm smile, and it just set the tone for us to enjoy our stay. Sally also informed us with all the benefits for being a Bonvoy preferred member which I was able to take advantage of them. From start to finish it was wonderful, and my reason of coming back and staying for my next trip in November. If I could I would give Sally a 100 stars!!!!",5,2024-10-08T15:01:12Z
5,1,W Times Square,235238.0,"Stayed here for an anniversary break and could not have chosen better.
The staff are amazing, so helpful and friendly.
The room was amazing with a dual aspect view of Times Square one way and The Hudson river the other - fascinating to watch New York all those floors below.
Jesse on reception and Nuk, front of house, went out of their way to make our stay extra special- thank you. 
Highly recommended",5,2024-10-08T11:28:47Z
6,2,W Los Angeles West Beverly Hills,77700.0,We had an excellent stay at this hotel.   Everyone working at the hotel was friendly and helpful.  I especially appreciated the help I received from Joe at check-in.  The pool area was a nice place to relax.  Great location near UCLA and Westwood.,5,2024-11-03T17:29:02Z
7,2,W Los Angeles West Beverly Hills,77700.0,"This hotel has it all-amazing location, staff, and service.The check in process was smooth. Our room was spacious and immaculate.  We were always greeted with a friendly face. Daniel made sure our family of 4 was treated like royalty. We will definitely return to this location!",5,2024-10-20T15:37:34Z
8,2,W Los Angeles West Beverly Hills,77700.0,"We added this as night of our trip because we are high level Bonvoy and have enjoyed exceptional service at the W in South Beach. There is nothing similar between the properties. There are no upgrades nor recognition here, not even thanks for being  a member. The decor is fresh given the age of the facility. The food and drinks are well priced at Happy Hour but at that time, the portions are very small. I would only stay here again if I needed to be near UCLA for some reason.  The pool is nice but there is no service. You help yourself at the restaurant nearby.",4,2024-10-17T19:01:54Z
9,2,W Los Angeles West Beverly Hills,77700.0,"Traveled here as I could not go home to Tampa due to the hurricane. 

Had an amazing check in experience with Mason. Also had a great happy hour dinner at STK.  Jasmine and Dom were great bartenders! I know STK is a separate company but just wanted to mention them so if you read this you go check it out separately from the hotel.

However, that is where the positive experience ended. I go back to my room after dinner to get ready for bed and find that the room had not cooled down from when I checked in and there was barely any air coming in when I had the AC turned up. I called down and they sent engineering up right away. He was super friendly and said he would try to fix it. He did some things to it and then went back downstairs. I then receive a call telling me that the HVAC is broken in my room and I can either open my windows or move rooms. I elected to move rooms since it was very warm as the high was in the 80s today. I was unpacked and in a robe ready for bed so was really not happy that I had to pack back up after flying here today and was about to sleep. 
They told me to call down when I was ready for the key. I call back down and they place me on hold and tell me they got me a room on the same floor so I wouldn’t have to go far. I asked if there was anything they could do for the inconvenience. They tell me they can give me a $50 food and beverage credit. I asked politely if there is more that they can do as $50 basically buys you one or two drinks in LA and I didn’t feel that was enough. They said they can do $100 and that was more than generous that I am staying on an explore friends rate. I let them know I work in hotel management and I really don’t think that is a fair reason to not treat me like any other guest. They told me “you should be more understanding if you work in hotels”. They then said the room they would give me is an upgraded room on a corner as well. I said okay thanks and they bring the key. I go to the new room to discover that it’s not an upgraded room, but it’s a handicapped room (not as nice as the original before). At this point I am very annoyed and I call back down as I was not given what I was told. 

The employee picks up on speaker phone and I can hear one of their employees in the background speaking badly about me. Now I am ANGRY.  I let them know that I could hear what was just said about me and that I was not given an upgraded room on a corner but a handicapped room. They told me that I said I wanted to be on the same floor (which I never said). I told them I never said that I cared what floor I was on. They are the ones who told me they would get me a room on the same floor and I was pleased with that. They also said “if you work for Marriott you should know you’re a reflection of the person who filled out the form and you should not be combative about the room.” I also do not work for Marriott and never said I did. I explained to them that no matter who I am, what rate I am staying at, and regardless of working in hospitality or not that I would never tell a guest how they should act or to be more understanding. That is completely unacceptable. I let them know the way that they are handling the situation and speaking to & about me was horrible. I let them know I want the upgraded room that I was promised on the phone. They then say they will send up a key for the corner room on the floor above. I then wait about 15 minutes for someone to come up with the new key. Finally I get the new key and at no point in being delivered the new keys from Lin did I receive an in person apology for this customer service. 
I am now finally in a nice corner room with AC. 
I have never in my life had such a horrible hotel customer service experience and I travel frequently & all over the world.",1,2024-10-12T00:35:04Z
10,2,W Los Angeles West Beverly Hills,77700.0,Lovely hotel conveniently located within walking distance of Westwood and other destinations. Beautiful rooms and a very helpful staff. Only issue was two of three elevators were down. Upper floors provided lovely rooms. I didn't have a chance to eat at the two restaurants on site.,5,2024-10-10T19:29:21Z
